HID,lon,lat,species,sid,family,category,presence,fraction,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,annualpet,aridityindexthornthwaite,climaticmoistureindex,embergerq,maxtempcoldest,petseasonality,tri,topowet,nontree,bare,tree,etccdi_cdd,etccdi_cwd,etccdi_fd,etccdi_gsl,etccdi_rx1day,etccdi_rx5day,etccdi_sdii,igbp_01,igbp_02,igbp_03,igbp_04,igbp_05,igbp_06,igbp_07,igbp_08,igbp_09,igbp_10,igbp_11,igbp_12,igbp_13,igbp_14,igbp_15,igbp_16
71757,78.334824,38.879362,Alces alces,56003281,Cervidae,LC,0,0,12.769927,17.088367,33.133603,1246.082426,37.012946,-14.560536,51.573482,35.849288,7.193423,0.017521,64.9766,19.133003,2.017521,19.133003,3.024481,1174.575027,1234.461181,96.507161,-0.965912,3.347031,6.125766,6614.502372,3.162363,14.678507,11.185305,88.808897,0.005799,210.783109,4.403732,171.119797,193.238487,11.062492,22.939479,3.219058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72077,78.446168,35.211108,Alces alces,56003281,Cervidae,LC,0,0,-11.924201,12.4633,31.115043,1007.825916,9.232528,-30.775549,40.008076,84.489268,27.936041,0.365628,121.107062,63.468886,2.878242,63.408709,3.582351,5530.397866,443.981311,86.197252,-0.846949,6.172072,-171.185782,3661.650735,98.238575,8.598616,29.296745,70.013446,0.689809,59.73703,17.411645,270.758801,77.148875,24.324562,64.837365,5.127951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037608,0.962392
71837,78.486196,38.412501,Alces alces,56003281,Cervidae,LC,0,0,12.830884,17.558752,33.609443,1251.63957,37.379643,-14.862991,52.242634,30.910124,6.43282,0,64.072577,16.903475,2,16.903475,3,1221.680829,1240.84668,96.615109,-0.968666,3.287181,7.48084,6594.331917,3.752329,14.034829,3.640229,96.359771,0,202.477964,5.689152,189.338335,173.331632,10.938171,23.809171,3.325835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71758,78.611032,39.768139,Alces alces,56003281,Cervidae,LC,0,0,12.006831,14.776714,31.410169,1171.638456,33.609631,-13.374088,46.983718,50.307731,9.221186,0.575278,64.560115,25.565872,2.812038,25.471244,3.919475,1122.743555,1216.940726,95.711334,-0.956466,4.006883,4.999832,6604.936588,6.245226,14.192549,35.254626,62.97741,1.767964,234.426194,4.164038,166.095779,198.412999,9.987761,20.680375,2.986894,0,0,0,0,0,0,8.3e-05,0,0,0.384201,0.001076,0.134056,0.01035,0,0.000828,0.441749
72159,78.648661,35.654361,Alces alces,56003281,Cervidae,LC,0,0,-10.085457,12.478896,32.183266,963.376078,10.23105,-28.433374,38.664424,72.112624,25.287281,0.065123,124.787481,57.142977,0.928804,56.760148,1.547451,5307.121899,482.781201,88.283923,-0.872527,5.293563,-165.070639,3860.001088,142.616967,7.940181,28.191708,70.585478,1.222814,85.69178,15.677002,268.383339,81.672831,20.500577,55.214018,4.743792,0,0,0,0,0,0,0,0,0,0.002154,0,0,0,0,0.048128,0.947399
71678,78.705681,41.119491,Alces alces,56003281,Cervidae,LC,0,0,3.833642,12.073693,32.165769,941.710985,22.077846,-15.675052,37.752898,155.925451,31.110102,2.147852,81.366159,85.764306,7.234289,85.76156,7.789511,2513.719385,824.150333,74.19859,-0.739138,17.724278,-68.189157,5144.692076,100.683798,8.653145,34.761079,63.11827,2.120651,182.9861,5.284571,170.289081,194.202999,12.017563,25.334754,3.133916,0,0,0,0,0,0,0,0,0,0.320964,0,0.006129,0.000663,0,8.3e-05,0.672161
72074,78.747452,32.447337,Alces alces,56003281,Cervidae,LC,0,0,-6.698621,11.860647,30.552901,1010.716375,13.391438,-25.433379,38.824817,229.176679,54.790012,4.771269,82.293119,129.589557,23.044404,109.610832,40.103543,5035.226806,579.517572,58.926838,-0.486834,30.835115,-90.426067,3559.470669,160.417794,7.815883,28.188433,69.983372,1.828195,48.410108,27.311976,206.272006,137.578316,41.748616,113.052086,7.234526,0,0,0,0,0,0,0,0,0,0.028323,0,0,0,0,0.00588,0.965797
72158,78.79317,34.726668,Alces alces,56003281,Cervidae,LC,0,0,-11.057132,12.728919,31.302357,1027.934139,10.341115,-30.302923,40.644037,78.436148,26.226391,0.356633,123.442847,59.869991,2.83218,59.808076,2.927533,5496.692205,465.095929,86.68457,-0.852452,6.311882,-157.409624,3745.822633,72.586611,9.535788,30.088057,68.917845,0.994098,65.060324,18.482231,269.791436,77.439726,24.692896,66.799826,5.23031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010271,0.989729
72073,78.805581,31.534574,Alces alces,56003281,Cervidae,LC,0,0,-4.903029,11.409117,30.004435,994.278965,14.366728,-23.674864,38.041592,600.608207,132.233099,12.604703,77.51433,317.725416,61.75348,263.136326,135.446707,4767.31437,615.336236,43.424602,0.017358,74.581402,-61.555975,3184.418785,217.687066,7.347244,29.060456,68.034339,2.905205,52.171964,31.512619,182.686733,163.245846,44.269835,119.267177,7.584066,0,0,0,0,0,0,0,0,0,0.122277,0,0,0,0,0.01632,0.861403
71759,78.880367,40.654182,Alces alces,56003281,Cervidae,LC,0,0,7.501633,12.672855,30.590064,1043.553172,26.809843,-14.788356,41.598199,97.441943,19.993236,1.059649,79.958758,54.477961,3.65206,54.477961,4.45702,1920.643405,985.920056,85.787373,-0.857769,11.200389,-31.836409,5734.177264,66.961199,9.522963,37.42179,61.321624,1.256587,210.400488,4.636522,164.554316,200.587485,10.807869,22.323091,2.970784,0,0,0,0,0,0,0,0,0,0.348737,0,0.005466,0.003892,0,0,0.641905
