HID,lon,lat,species,sid,family,category,presence,fraction,bio02,bio15,bio19,elevation,aridityindexthornthwaite,maxtempcoldest,tri,topowet,nontree,etccdi_cwd,landcover_igbp
84667,118.360419,42.855264,Ovis ammon,15733,Bovidae,NT,0,0,12.477732,113.480126,8.064507,1132.516084,49.83915,-86.269503,38.198854,10.190785,45.488061,7.40455,10
84668,118.017493,43.717065,Ovis ammon,15733,Bovidae,NT,0,0,13.325766,115.804094,7.368827,990.417125,53.39254,-96.696898,37.566703,10.773442,50.973862,7.274276,10
84669,117.667641,44.576157,Ovis ammon,15733,Bovidae,NT,0,0,13.664273,111.202554,8.832052,1067.020294,56.92371,-133.515545,13.571977,12.089862,42.572521,6.781902,10
84670,117.309259,45.432548,Ovis ammon,15733,Bovidae,NT,0,0,13.698171,107.302906,7.710252,890.799363,66.498564,-150.596567,9.746869,12.668158,49.712178,6.542344,10
84671,116.933468,46.281331,Ovis ammon,15733,Bovidae,NT,0,0,13.714892,107.789743,7.419008,915.530669,68.452198,-162.100752,10.611017,12.67486,54.133687,6.392932,10
84673,116.116399,47.950848,Ovis ammon,15733,Bovidae,NT,0,0,12.807065,109.409891,5.673853,649.398986,75.862021,-144.711667,7.770115,13.439248,45.407684,6.237709,10
84728,121.163082,24.572388,Ovis ammon,15733,Bovidae,NT,0,0,7.250863,56.809536,294.536298,1275.876285,11.555512,132.191684,158.044416,7.976385,26.014139,20.42674,2
84732,121.186217,28.153087,Ovis ammon,15733,Bovidae,NT,0,0,5.465691,44.790706,190.412934,43.211127,0.024788,106.479288,58.889043,9.788949,48.577888,14.211922,9
84733,121.198547,29.054157,Ovis ammon,15733,Bovidae,NT,0,0,7.270525,47.251538,163.23257,250.003101,1.550814,89.457242,74.084534,9.175054,46.940914,13.179169,8
84734,121.216261,29.958201,Ovis ammon,15733,Bovidae,NT,0,0,7.613056,44.867896,162.991618,154.514096,5.220599,81.223539,43.505512,11.079555,47.716337,12.612849,8
84735,121.241406,30.865552,Ovis ammon,15733,Bovidae,NT,0,0,7.629406,50.570834,135.291751,2.705461,13.332418,78.491945,0.499594,14.691423,60.030005,11.922928,12
84736,121.276606,31.776544,Ovis ammon,15733,Bovidae,NT,0,0,7.062764,53.804973,117.74432,1.459931,14.659398,63.597887,0.352943,14.628344,63.464109,10.61604,12
84742,120.853126,37.221041,Ovis ammon,15733,Bovidae,NT,0,0,10.194229,101.62982,30.953486,172.79321,46.625264,2.026172,23.773265,11.11349,69.027497,7.223284,12
84746,119.504066,40.723008,Ovis ammon,15733,Bovidae,NT,0,0,12.142453,122.43021,7.775231,528.570407,57.994476,-35.12018,42.981657,10.117953,56.125811,7.675083,10
84747,119.175118,41.592605,Ovis ammon,15733,Bovidae,NT,0,0,12.457713,116.635338,7.613179,624.12198,53.007534,-42.697317,20.849736,11.716281,46.894556,7.832438,12
84748,118.844106,42.459546,Ovis ammon,15733,Bovidae,NT,0,0,12.387128,112.657428,6.873527,756.64825,58.499733,-55.462274,26.498493,11.138131,43.095601,7.609127,10
84749,118.508977,43.323797,Ovis ammon,15733,Bovidae,NT,0,0,12.816719,113.040362,8.841086,764.682877,57.636538,-72.400384,27.969011,11.181596,42.877117,7.403039,10
84750,118.167905,44.185352,Ovis ammon,15733,Bovidae,NT,0,0,13.610934,113.288853,9.839239,1159.18764,50.199356,-119.157356,39.945042,10.362845,52.599557,7.101894,10
84751,117.819225,45.044224,Ovis ammon,15733,Bovidae,NT,0,0,13.839831,111.44883,8.034062,952.2197,60.599726,-138.730284,9.446844,12.470394,45.156463,6.718007,10
84752,117.461385,45.900428,Ovis ammon,15733,Bovidae,NT,0,0,13.985954,108.296143,8.211148,983.121295,64.57364,-161.65187,12.070946,12.270955,58.21744,6.643606,10
84755,116.25965,48.41347,Ovis ammon,15733,Bovidae,NT,0,0,12.702975,110.726239,5.497058,652.763404,73.161966,-148.408222,8.348854,12.569949,45.977799,6.314596,10
84809,121.419163,24.153188,Ovis ammon,15733,Bovidae,NT,0,0,7.779967,49.48704,355.022559,1747.917816,0.769636,119.278976,222.490955,7.280711,26.587641,21.502218,2
84810,121.424407,25.044571,Ovis ammon,15733,Bovidae,NT,0,0,6.23769,31.717924,481.700603,191.469263,0.374497,168.613744,58.961062,9.816893,43.355699,20.028956,2
84814,121.457167,28.629495,Ovis ammon,15733,Bovidae,NT,0,0,6.599586,46.181863,168.206815,44.461138,0.869529,106.218405,32.460071,10.997219,52.666927,13.900184,9
84817,121.527943,31.346812,Ovis ammon,15733,Bovidae,NT,0,0,7.004355,51.718962,132.856089,1.508577,13.990384,76.477948,0.783757,14.421966,50.714992,10.566382,13
84823,121.318781,36.809555,Ovis ammon,15733,Bovidae,NT,0,0,9.003367,96.723779,35.371217,62.39636,41.664722,16.020895,25.228385,10.89578,66.706568,7.039969,12
84824,120.966719,37.689807,Ovis ammon,15733,Bovidae,NT,0,0,9.127482,100.587378,29.733727,48.196599,52.701474,9.020879,19.463319,11.346525,64.0166,7.220736,12
84827,119.971133,40.319959,Ovis ammon,15733,Bovidae,NT,0,0,10.623923,123.488155,8.766374,181.859073,58.911133,-20.253385,35.519133,10.438629,58.112373,6.959157,12
84828,119.647032,41.191935,Ovis ammon,15733,Bovidae,NT,0,0,12.394674,120.816372,6.842794,460.58351,62.84825,-36.358071,32.794221,10.442032,53.24843,7.690702,10
84829,119.322136,42.06128,Ovis ammon,15733,Bovidae,NT,0,0,12.496848,114.711154,6.749949,625.133234,55.938991,-45.777968,23.315048,11.693047,46.917735,7.638159,10
